Country,StateAbb,latitude,longitude
Afghanistan,AFG,33.93911,67.709953
Albania,ALB,41.153332,20.168331
Algeria,ALG,28.033886,1.659626
Andorra,AND,42.546245,1.601554
Angola,ANG,-11.202692,17.873887
Antigua & Barbuda,AAB,17.060816,-61.796428
Argentina,ARG,-38.416097,-63.616672
Armenia,ARM,40.069099,45.038189
Australia,AUL,-25.274398,133.775136
Austria,AUS,47.516231,14.550072
Azerbaijan,AZE,40.143105,47.576927
Bahamas,BHM,25.03428,-77.39628
Bahrain,BAH,25.930414,50.637772
Bangladesh,BNG,23.684994,90.356331
Barbados,BAR,13.193887,-59.543198
Belarus,BLR,53.709807,27.953389
Belgium,BEL,50.503887,4.469936
Belize,BLZ,17.189877,-88.49765
Benin,BEN,9.30769,2.315834
Bhutan,BHU,27.514162,90.433601
Bolivia,BOL,-16.290154,-63.588653
Bosnia and Herzegovina,BOS,43.915886,17.679076
Botswana,BOT,-22.328474,24.684866
Brazil,BRA,-14.235004,-51.92528
Brunei,BRU,4.535277,114.727669
Bulgaria,BUL,42.733883,25.48583
Burkina Faso,BFO,12.238333,-1.561593
Burundi,BUI,-3.373056,29.918886
Cambodia,CAM,12.565679,104.990963
Cameroon,CAO,7.369722,12.354722
Canada,CAN,56.130366,-106.346771
Cape Verde,CAP,16.002082,-24.013197
Central African Republic,CEN,6.611111,20.939444
Chad,CHA,15.454166,18.732207
Chile,CHL,-35.675147,-71.542969
China,CHN,35.86166,104.195397
Colombia,COL,4.570868,-74.297333
Comoros,COM,-11.875001,43.872219
Congo,CON,-0.228021,15.827659
Costa Rica,COS,9.748917,-83.753428
Croatia,CRO,45.1,15.2
Cuba,CUB,21.521757,-77.781167
Cyprus,CYP,35.126413,33.429859
Czech Republic,CZR,49.817492,15.472962
Democratic Republic of the Congo,DRC,-4.038333,21.758664
Denmark,DEN,56.26392,9.501785
Djibouti,DJI,11.825138,42.590275
Dominica,DMA,15.414999,-61.370976
Dominican Republic,DOM,18.735693,-70.162651
East Timor,ETM,-8.874217,125.727539
Ecuador,ECU,-1.831239,-78.183406
Egypt,EGY,26.820553,30.802498
El Salvador,SAL,13.794185,-88.89653
Equatorial Guinea,EQG,1.650801,10.267895
Eritrea,ERI,15.179384,39.782334
Estonia,EST,58.595272,25.013607
Ethiopia,ETH,9.145,40.489673
Federated States of Micronesia,FSM,7.425554,150.550812
Fiji,FIJ,-16.578193,179.414413
Finland,FIN,61.92411,25.748151
France,FRN,46.227638,2.213749
Gabon,GAB,-0.803689,11.609444
Gambia,GAM,13.443182,-15.310139
Georgia,GRG,42.315407,43.356892
Germany,MEC,51.165691,10.451526
Ghana,GHA,7.946527,-1.023194
Greece,GRC,39.074208,21.824312
Grenada,GRN,12.262776,-61.604171
Guatemala,GUA,15.783471,-90.230759
Guinea,GUI,9.945587,-9.696645
Guinea-Bissau,GNB,11.803749,-15.180413
Guyana,GUY,4.860416,-58.93018
Haiti,HAI,18.971187,-72.285215
Honduras,HON,15.199999,-86.241905
Hungary,HUN,47.162494,19.503304
Iceland,ICE,64.963051,-19.020835
India,IND,20.593684,78.96288
Indonesia,INS,-0.789275,113.921327
Iran,IRN,32.427908,53.688046
Iraq,IRQ,33.223191,43.679291
Ireland,IRE,53.41291,-8.24389
Israel,ISR,31.046051,34.851612
Italy,TUS,41.87194,12.56738
Ivory Coast,CDI,7.539989,-5.54708
Jamaica,JAM,18.109581,-77.297508
Japan,JPN,36.204824,138.252924
Jordan,JOR,30.585164,36.238414
Kazakhstan,KZK,48.019573,66.923684
Kenya,KEN,-0.023559,37.906193
Kiribati,KIR,-3.370417,-168.734039
Kosovo,KOS,42.602636,20.902977
Kuwait,KUW,29.31166,47.481766
Kyrgyzstan,KYR,41.20438,74.766098
Laos,LAO,19.85627,102.495496
Latvia,LAT,56.879635,24.603189
Lebanon,LEB,33.854721,35.862285
Lesotho,LES,-29.609988,28.233608
Liberia,LBR,6.428055,-9.429499
Libya,LIB,26.3351,17.228331
Liechtenstein,LIE,47.166,9.555373
Lithuania,LIT,55.169438,23.881275
Luxembourg,LUX,49.815273,6.129583
Macedonia,MAC,41.608635,21.745275
Madagascar,MAG,-18.766947,46.869107
Malawi,MAW,-13.254308,34.301525
Malaysia,MAL,4.210484,101.975766
Maldives,MAD,3.202778,73.22068
Mali,MLI,17.570692,-3.996166
Malta,MLT,35.937496,14.375416
Marshall Islands,MSI,7.131474,171.184478
Mauritania,MAA,21.00789,-10.940835
Mauritius,MAS,-20.348404,57.552152
Mexico,MEX,23.634501,-102.552784
Moldova,MLD,47.411631,28.369885
Monaco,MNC,43.750298,7.412841
Mongolia,MON,46.862496,103.846656
Montenegro,MNG,42.708678,19.37439
Morocco,MOR,31.791702,-7.09262
Mozambique,MZM,-18.665695,35.529562
Myanmar,MYA,21.913965,95.956223
Namibia,NAM,-22.95764,18.49041
Nauru,NAU,-0.522778,166.931503
Nepal,NEP,28.394857,84.124008
Netherlands,NTH,52.132633,5.291266
New Zealand,NEW,-40.900557,174.885971
Nicaragua,NIC,12.865416,-85.207229
Niger,NIR,17.607789,8.081666
Nigeria,NIG,9.081999,8.675277
North Korea,PRK,40.339852,127.510093
Norway,NOR,60.472024,8.468946
Oman,OMA,21.512583,55.923255
Pakistan,PAK,30.375321,69.345116
Palau,PAL,7.51498,134.58252
Panama,PAN,8.537981,-80.782127
Papua New Guinea,PNG,-6.314993,143.95555
Paraguay,PAR,-23.442503,-58.443832
Peru,PER,-9.189967,-75.015152
Philippines,PHI,12.879721,121.774017
Poland,POL,51.919438,19.145136
Portugal,POR,39.399872,-8.224454
Qatar,QAT,25.354826,51.183884
Romania,ROM,45.943161,24.96676
Russia,RUS,61.52401,105.318756
Rwanda,RWA,-1.940278,29.873888
Samoa,WSM,-13.759029,-172.104629
San Marino,SNM,43.94236,12.457777
Sao Tome and Principe,STP,0.18636,6.613081
Saudi Arabia,SAU,23.885942,45.079162
Senegal,SEN,14.497401,-14.452362
Seychelles,SEY,-4.679574,55.491977
Sierra Leone,SIE,8.460555,-11.779889
Singapore,SIN,1.352083,103.819836
Slovakia,SLO,48.669026,19.699024
Slovenia,SLV,46.151241,14.995463
Solomon Islands,SOL,-9.64571,160.156194
Somalia,SOM,5.152149,46.199616
South Africa,SAF,-30.559482,22.937506
South Korea,ROK,35.907757,127.766922
South Sudan,SSD,6.877,31.307
Spain,SPN,40.463667,-3.74922
Sri Lanka,SRI,7.873054,80.771797
St. Kitts and Nevis,SKN,17.357822,-62.782998
St. Lucia,SLU,13.909444,-60.978893
St. Vincent and the Grenadines,SVG,12.984305,-61.287228
Sudan,SSD,12.862807,30.217636
Suriname,SUR,3.919305,-56.027783
Swaziland,SWA,-26.522503,31.465866
Sweden,SWD,60.128161,18.643501
Switzerland,SWZ,46.818188,8.227512
Syria,SYR,34.802075,38.996815
Taiwan,TAW,23.69781,120.960515
Tajikistan,TAJ,38.861034,71.276093
Tanzania,ZAN,-6.369028,34.888822
Thailand,THI,15.870032,100.992541
Togo,TOG,8.619543,0.824782
Tonga,TON,-21.178986,-175.198242
Trinidad and Tobago,TRI,10.691803,-61.222503
Tunisia,TUN,33.886917,9.537499
Turkey,TUR,38.963745,35.243322
Turkmenistan,TKM,38.969719,59.556278
Tuvalu,TUV,-7.109535,177.64933
Uganda,UGA,1.373333,32.290275
Ukraine,UKR,48.379433,31.16558
United Arab Emirates,UAE,23.424076,53.847818
United Kingdom,UKG,55.378051,-3.435973
United States of America,USA,37.09024,-95.712891
Uruguay,URU,-32.522779,-55.765835
Uzbekistan,UZB,41.377491,64.585262
Vanuatu,VAN,-15.376706,166.959158
Venezuela,VEN,6.42375,-66.58973
Vietnam,RVN,14.058324,108.277199
Yemen,YEM,15.552727,48.516388
Yugoslavia,YUG,44.016521,21.005859
Zambia,ZAM,-13.133897,27.849332
Zimbabwe,ZIM,-19.015438,29.154857
Czechoslovakia,CZE,49.45,17.472962
German Democratic Republic,GDR,52.51783,13.402665
German Federal Republic,GFR,51.0,10.0
